"","orig","des_old","des_new"
"Q47XG4","Serine hydroxymethyltransferase 3 ","Serine hydroxymethyltransferase 3 ","Serine hydroxymethyltransferase 3 "
"Q47XG5","DNA-binding protein ","DNA-binding protein ","DNA-binding protein "
"Q47XG6","Amino acid/cation symporter ","Amino acid/cation symporter ","Amino acid/cation symporter "
"Q47XG7","Glycine cleavage system T protein ","Glycine cleavage system T protein ","aminomethyltransferase "
"Q47XG9","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47XH1","Quinol oxidase, subunit I ","Quinol oxidase, subunit I ","Quinol oxidase, subunit I "
"Q47XH2","HTH-type transcriptional regulator ","HTH-type transcriptional regulator ","HTH-type transcriptional regulator "
"Q47XH4","Putative hypoxanthine phosphoribosyltransferase ","Putative hypoxanthine phosphoribosyltransferase ","Putative hypoxanthine phosphoribosyltransferase "
"Q47XH5","Uncharacterized protein ","Uncharacterized protein ","Nucleoside-diphosphate sugar epimerase "
"Q47XH7","Uncharacterized protein ","Uncharacterized protein ","DUF3083 family protein "
"Q47XH8","SsrA-binding protein ","SsrA-binding protein ","SsrA-binding protein "
"Q47XI1","Outer membrane protein assembly factor BamE ","Outer membrane protein assembly factor BamE ","Outer membrane protein assembly factor BamE "
"Q47XI2","DNA repair protein RecN ","DNA repair protein RecN ","DNA repair protein RecN "
"Q47XI3","NAD kinase ","NAD kinase ","NAD kinase "
"Q47XI4","Protein GrpE ","Protein GrpE ","Protein GrpE "
"Q47XI5","Putative thioredoxin ","Putative thioredoxin ","Putative thioredoxin "
"Q47XI6","Chaperone protein DnaK 2 ","Chaperone protein DnaK 2 ","Chaperone protein DnaK 2 "
"Q47XI7","Chaperone protein DnaJ ","Chaperone protein DnaJ ","Chaperone protein DnaJ "
"Q47XI8","Transcriptional regulator, AsnC family ","Transcriptional regulator, AsnC family ","Transcriptional regulator, AsnC family "
"Q47XJ2","Monovalent cation/proton antiporter, MnhE/PhaE family subunit ","Monovalent cation/proton antiporter, MnhE/PhaE family subunit ","Monovalent cation/proton antiporter, MnhE/PhaE family subunit "
"Q47XJ6","NAD kinase ","NAD kinase ","Putative inorganic polyphosphate/ATP-NAD kinase "
"Q47XJ7","Uncharacterized protein ","Uncharacterized protein ","YfcL protein "
"Q47XJ8","Uncharacterized protein ","Uncharacterized protein ","NarX-like N-terminal domain-containing protein "
"Q47XJ9","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC ","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC ","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC "
"Q47XK0","3-oxoacyl-(Acyl-carrier-protein) synthase I ","3-oxoacyl-(Acyl-carrier-protein) synthase I ","3-oxoacyl-[acyl-carrier-protein] synthase 1 "
"Q47XK1","Erythronate-4-phosphate dehydrogenase ","Erythronate-4-phosphate dehydrogenase ","Erythronate-4-phosphate dehydrogenase "
"Q47XK2","Aspartate-semialdehyde dehydrogenase ","Aspartate-semialdehyde dehydrogenase ","Aspartate-semialdehyde dehydrogenase "
"Q47XK3","Uncharacterized protein ","Uncharacterized protein ","FimV N-terminal domain-containing protein "
"Q47XK4","tRNA pseudouridine synthase A ","tRNA pseudouridine synthase A ","tRNA pseudouridine synthase A "
"Q47XK5","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta ","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta ","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta "
"Q47XK6","FolC bifunctional protein ","FolC bifunctional protein ","Dihydrofolate synthase/folylpolyglutamate synthase "
"Q47XK7","DedD protein ","DedD protein ","DedD protein "
"Q47XK8","Colicin V production protein ","Colicin V production protein ","Colicin V production protein "
"Q47XK9","Amidophosphoribosyltransferase ","Amidophosphoribosyltransferase ","Amidophosphoribosyltransferase "
"Q47XL0","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47XL2","tRNA-(MS[2]IO[6]A)-hydroxylase ","tRNA-(MS[2]IO[6]A)-hydroxylase ","tRNA-(MS[2]IO[6]A)-hydroxylase "
"Q47XL3","UDP-2,3-diacylglucosamine hydrolase ","UDP-2,3-diacylglucosamine hydrolase ","UDP-2,3-diacylglucosamine hydrolase "
"Q47XL4","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase "
"Q47XL5","Cysteine--tRNA ligase ","Cysteine--tRNA ligase ","Cysteine--tRNA ligase "
"Q47XL6","Bifunctional protein FolD 2 ","Bifunctional protein FolD 2 ","Bifunctional protein FolD 2 "
"Q47XL7","Trigger factor ","Trigger factor ","Trigger factor "
"Q47XL8","ATP-dependent Clp protease proteolytic subunit ","ATP-dependent Clp protease proteolytic subunit ","ATP-dependent Clp protease proteolytic subunit "
"Q47XL9","ATP-dependent Clp protease ATP-binding subunit ClpX ","ATP-dependent Clp protease ATP-binding subunit ClpX ","ATP-dependent Clp protease ATP-binding subunit ClpX "
"Q47XM0","Lon protease ","Lon protease ","Lon protease "
"Q47XM2","DNA-binding protein, HU family ","DNA-binding protein, HU family ","DNA-binding protein, HU family "
"Q47XM3","Peptidylprolyl isomerase ","Peptidylprolyl isomerase ","Periplasmic chaperone PpiD "
"Q47XM4","Peptide ABC transporter, ATP-binding protein ","Peptide ABC transporter, ATP-binding protein ","Peptide ABC transporter, ATP-binding protein "
"Q47XM5","Peptide ABC transporter, ATP-binding protein ","Peptide ABC transporter, ATP-binding protein ","Peptide ABC transporter, ATP-binding protein "
"Q47XM6","Peptide ABC transporter, permease protein ","Peptide ABC transporter, permease protein ","Peptide ABC transporter, permease protein "
"Q47XM7","Peptide ABC transporter, permease protein ","Peptide ABC transporter, permease protein ","Peptide ABC transporter, permease protein "
"Q47XM8","Peptide ABC transporter, periplasmic peptide-binding protein ","Peptide ABC transporter, periplasmic peptide-binding protein ","Peptide ABC transporter, periplasmic peptide-binding protein "
"Q47XM9","Sigma-54 depedent transcriptional activator PspF ","Sigma-54 depedent transcriptional activator PspF ","Sigma-54 depedent transcriptional activator PspF "
"Q47XN1","Phage shock protein A ","Phage shock protein A ","Phage shock protein A "
"Q47XN3","Phage shock protein C ","Phage shock protein C ","Phage shock protein C "
"Q47XN4","Uncharacterized protein ","Uncharacterized protein ","YcjX family protein "
"Q47XN7","Phenylalanine-4-hydroxylase ","Phenylalanine-4-hydroxylase ","Phenylalanine-4-hydroxylase "
"Q47XN8","Putative pterin-4-alpha-carbinolamine dehydratase ","Putative pterin-4-alpha-carbinolamine dehydratase ","Putative pterin-4-alpha-carbinolamine dehydratase "
"Q47XN9","Sigma-54 dependent transcriptional regulator TyrR ","Sigma-54 dependent transcriptional regulator TyrR ","HTH-type transcriptional regulatory protein TyrR "
"Q47XP0","Fumarylacetoacetate hydrolase family protein ","Fumarylacetoacetate hydrolase family protein ","Fumarylacetoacetate hydrolase family protein "
"Q47XP1","Maleylacetoacetate isomerase ","Maleylacetoacetate isomerase ","Maleylacetoacetate isomerase "
"Q47XP2","Uncharacterized protein ","Uncharacterized protein ","DUF3014 domain-containing protein "
"Q47XP3","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q47XP4","Uncharacterized protein ","Uncharacterized protein ","Competence protein ComFB "
"Q47XP5","Putative primosomal replication protein N ","Putative primosomal replication protein N ","Putative primosomal replication protein N "
"Q47XP6","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q47XP7","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47XP8","MotA/TolQ/ExbB proton channel family ","MotA/TolQ/ExbB proton channel family ","MotA/TolQ/ExbB proton channel family "
"Q47XP9","Biopolymer transport exbB protein ","Biopolymer transport exbB protein ","Biopolymer transport exbB protein "
"Q47XQ0","Biopolymer transport exbD protein ","Biopolymer transport exbD protein ","Biopolymer transport exbD protein "
"Q47XQ1","Protein TonB ","Protein TonB ","Protein TonB "
"Q47XQ2","TPR domain protein ","TPR domain protein ","TPR domain protein "
"Q47XQ4","Uncharacterized protein ","Uncharacterized protein ","DUF1456 domain-containing protein "
"Q47XQ6","Response regulator ","Response regulator ","Response regulator "
"Q47XQ8","Adenine phosphoribosyltransferase ","Adenine phosphoribosyltransferase ","Adenine phosphoribosyltransferase "
"Q47XQ9","DNA polymerase III subunit gamma/tau ","DNA polymerase III subunit gamma/tau ","DNA polymerase III subunit gamma/tau "
"Q47XR0","Nucleoid-associated protein CPS_3743 ","Nucleoid-associated protein CPS_3743 ","Nucleoid-associated protein CPS_3743 "
"Q47XR6","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q47XR9","Putative tryptophan halogenase ","Putative tryptophan halogenase ","Putative tryptophan halogenase "
"Q47XS6","Oxidoreductase, short chain dehydrogenase/reductase family ","Oxidoreductase, short chain dehydrogenase/reductase family ","Oxidoreductase, short chain dehydrogenase/reductase family "
"Q47XS7","Glycosyl hydrolase, family 16 ","Glycosyl hydrolase, family 16 ","Glycosyl hydrolase, family 16 "
"Q47XT1","Uncharacterized protein ","Uncharacterized protein ","Cellobiose phosphorylase "
"Q47XT2","Putative glycosyl hydrolase ","Putative glycosyl hydrolase ","Putative glycosyl hydrolase "
"Q47XT3","Putative glycosyl hydrolase ","Putative glycosyl hydrolase ","Putative glycosyl hydrolase "
"Q47XT5","Response regulator ","Response regulator ","Response regulator "
"Q47XU2","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q47XU3","Glucokinase ","Glucokinase ","Glucokinase "
"Q47XU4","Galactose operon repressor ","Galactose operon repressor ","Galactose operon repressor "
"Q47XV2","Putative tryptophan halogenase ","Putative tryptophan halogenase ","Putative tryptophan halogenase "
"Q47XV4","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q47XW0","Glycosyl hydrolase, family 3 ","Glycosyl hydrolase, family 3 ","Glycosyl hydrolase, family 3 "
"Q47XW2","Recombination protein RecR ","Recombination protein RecR ","Recombination protein RecR "
"Q47XW3","Putative translation initiation factor SUI1 ","Putative translation initiation factor SUI1 ","Putative translation initiation factor SUI1 "
"Q47XW4","Electron transfer flavoprotein, alpha subunit ","Electron transfer flavoprotein, alpha subunit ","Electron transfer flavoprotein, alpha subunit "
"Q47XW5","Electron transfer flavoprotein, beta subunit ","Electron transfer flavoprotein, beta subunit ","Electron transfer flavoprotein subunit beta "
"Q47XW6","Electron transfer flavoprotein-ubiquinone oxidoreductase ","Electron transfer flavoprotein-ubiquinone oxidoreductase ","Electron transfer flavoprotein-ubiquinone oxidoreductase "
"Q47XW8","Uncharacterized protein ","Uncharacterized protein ","Flagellar Assembly Protein A N-terminal region domain-containing protein "
"Q47XW9","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47XX0","CinA-like protein ","CinA-like protein ","CinA-like protein "
"Q47XX1","Uncharacterized protein ","Uncharacterized protein ","Lipocalin-like domain-containing protein "
"Q47XX2","Dihydrodipicolinate synthase ","Dihydrodipicolinate synthase ","4-hydroxy-tetrahydrodipicolinate synthase "
"Q47XX3","RNA pseudouridine synthase family protein ","RNA pseudouridine synthase family protein ","RNA pseudouridine synthase family protein "
"Q47XX5","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47XX7","Phosphoribosylformylglycinamidine synthase ","Phosphoribosylformylglycinamidine synthase ","Phosphoribosylformylglycinamidine synthase "
"Q47XX8","Membrane-bound lytic murein transglycosylase F ","Membrane-bound lytic murein transglycosylase F ","Membrane-bound lytic murein transglycosylase F "
"Q47XY2","Protein kinase domain protein ","Protein kinase domain protein ","Protein kinase domain protein "
"Q47XY4","Oxygen-independent coproporphyrinogen-III oxidase-like protein ","Oxygen-independent coproporphyrinogen-III oxidase-like protein ","Heme chaperone HemW "
"Q47XY5","dITP/XTP pyrophosphatase ","dITP/XTP pyrophosphatase ","dITP/XTP pyrophosphatase "
"Q47XY6","Uncharacterized protein ","Uncharacterized protein ","DUF4426 domain-containing protein "
"Q47XY7","YGGT family protein ","YGGT family protein ","YGGT family protein "
"Q47XY8","Pyrroline-5-carboxylate reductase ","Pyrroline-5-carboxylate reductase ","Pyrroline-5-carboxylate reductase "
"Q47XY9","Pyridoxal phosphate homeostasis protein ","Pyridoxal phosphate homeostasis protein ","Pyridoxal phosphate homeostasis protein "
"Q47XZ0","Twitching motility protein PilT ","Twitching motility protein PilT ","Twitching motility protein PilT "
"Q47XZ1","Twitching motility protein PilU ","Twitching motility protein PilU ","Twitching motility protein PilU "
"Q47XZ2","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47XZ3","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase ","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase ","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase "
"Q47XZ7","Cobyric acid synthase ","Cobyric acid synthase ","Cobyric acid synthase "
"Q47XZ8","Uncharacterized protein ","Uncharacterized protein ","DGC domain protein "
"Q47XZ9","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Y00","Uncharacterized protein ","Uncharacterized protein ","DUF3301 domain-containing protein "
"Q47Y01","Uncharacterized protein ","Uncharacterized protein ","DUF3549 domain-containing protein "
"Q47Y03","tRNA pseudouridine synthase C ","tRNA pseudouridine synthase C ","tRNA pseudouridine synthase C "
"Q47Y04","5-formyltetrahydrofolate cyclo-ligase ","5-formyltetrahydrofolate cyclo-ligase ","5-formyltetrahydrofolate cyclo-ligase "
"Q47Y05","Peptide/proton symporter family protein ","Peptide/proton symporter family protein ","Peptide/proton symporter family protein "
"Q47Y07","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein "
"Q47Y08","UDP-glucose/GDP-mannose dehydrogenase family protein ","UDP-glucose/GDP-mannose dehydrogenase family protein ","UDP-glucose/GDP-mannose dehydrogenase family protein "
"Q47Y09","NAD-dependent epimerase/dehydratase family ","NAD-dependent epimerase/dehydratase family ","NAD-dependent epimerase/dehydratase family "
"Q47Y10","Phosphate ABC transporter, permease protein ","Phosphate ABC transporter, permease protein ","Phosphate ABC transporter, permease protein "
"Q47Y11","Phosphate transport system permease protein PstA ","Phosphate transport system permease protein PstA ","Phosphate transport system permease protein PstA "
"Q47Y12","Phosphate import ATP-binding protein PstB ","Phosphate import ATP-binding protein PstB ","Phosphate import ATP-binding protein PstB "
"Q47Y13","Phosphate-specific transport system accessory protein PhoU ","Phosphate-specific transport system accessory protein PhoU ","Phosphate-specific transport system accessory protein PhoU "
"Q47Y14","Uncharacterized protein ","Uncharacterized protein ","TIGR00153 family protein "
"Q47Y15","Phosphate transporter ","Phosphate transporter ","Phosphate transporter "
"Q47Y16","Peptidylprolyl isomerase ","Peptidylprolyl isomerase ","Peptidyl-prolyl cis-trans isomerase C "
"Q47Y17","Uncharacterized protein ","Uncharacterized protein ","Nucleoprotein/polynucleotide-associated enzyme "
"Q47Y18","Uncharacterized protein ","Uncharacterized protein ","Glutaredoxin domain-containing protein "
"Q47Y19","Protein-methionine-sulfoxide reductase catalytic subunit MsrP ","Protein-methionine-sulfoxide reductase catalytic subunit MsrP ","Protein-methionine-sulfoxide reductase catalytic subunit MsrP "
"Q47Y21","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q47Y22","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q47Y23","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q47Y24","Patatin-like phospholipase family protein ","Patatin-like phospholipase family protein ","Patatin-like phospholipase family protein "
"Q47Y25","Putative glucose-6-phosphate 1-epimerase ","Putative glucose-6-phosphate 1-epimerase ","Putative glucose-6-phosphate 1-epimerase "
"Q47Y26","DNA mismatch repair protein MutH ","DNA mismatch repair protein MutH ","DNA mismatch repair protein MutH "
"Q47Y27","RNA pyrophosphohydrolase ","RNA pyrophosphohydrolase ","RNA pyrophosphohydrolase "
"Q47Y28","Phosphoenolpyruvate-protein phosphotransferase PtsP ","Phosphoenolpyruvate-protein phosphotransferase PtsP ","Phosphoenolpyruvate-protein phosphotransferase PtsP "
"Q47Y30","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase ","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase ","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase "
"Q47Y31","Thymidylate synthase ","Thymidylate synthase ","Thymidylate synthase "
"Q47Y32","Formyltetrahydrofolate deformylase ","Formyltetrahydrofolate deformylase ","Formyltetrahydrofolate deformylase "
"Q47Y33","Uncharacterized protein ","Uncharacterized protein ","Polyketide cyclase/dehydrase "
"Q47Y35","L-serine ammonia-lyase ","L-serine ammonia-lyase ","L-serine dehydratase "
"Q47Y37","MutT/nudix family protein ","MutT/nudix family protein ","MutT/nudix family protein "
"Q47Y38","Para-aminobenzoate synthase, component I ","Para-aminobenzoate synthase, component I ","aminodeoxychorismate synthase "
"Q47Y39","Fumarate hydratase class I ","Fumarate hydratase class I ","Fumarate hydratase class I "
"Q47Y43","Uncharacterized protein ","Uncharacterized protein ","4-vinyl reductase 4VR domain-containing protein "
"Q47Y44","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q47Y46","Uncharacterized protein ","Uncharacterized protein ","DUF805 domain-containing protein "
"Q47Y47","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Y49","Uncharacterized protein ","Uncharacterized protein ","Lysine 2,3-aminomutase "
"Q47Y51","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47Y54","Uncharacterized protein ","Uncharacterized protein ","Lipid/polyisoprenoid-binding YceI-like domain-containing protein "
"Q47Y58","Beta-ketoadipyl CoA thiolase ","Beta-ketoadipyl CoA thiolase ","Beta-ketoadipyl-CoA thiolase "
"Q47Y59","Putative glutamate-1-semialdehyde-2,1-aminomutase ","Putative glutamate-1-semialdehyde-2,1-aminomutase ","Glutamate-1-semialdehyde 2,1-aminomutase "
"Q47Y60","3-oxoadipate CoA-transferase, beta subunit ","3-oxoadipate CoA-transferase, beta subunit ","3-oxoadipate CoA-transferase, beta subunit "
"Q47Y61","3-oxoadipate CoA-transferase, alpha subunit ","3-oxoadipate CoA-transferase, alpha subunit ","3-oxoadipate CoA-transferase, alpha subunit "
"Q47Y63","Uncharacterized protein ","Uncharacterized protein ","RmuC-domain protein "
"Q47Y66","Metallo-beta-lactamase family protein ","Metallo-beta-lactamase family protein ","Metallo-beta-lactamase family protein "
"Q47Y67","Cation channel family protein ","Cation channel family protein ","Cation channel family protein "
"Q47Y68","UPF0178 protein CPS_3584 ","UPF0178 protein CPS_3584 ","UPF0178 protein CPS_3584 "
"Q47Y72","Chaperone protein IbpA ","Chaperone protein IbpA ","Chaperone protein IbpA "
"Q47Y73","Peroxiredoxin ","Peroxiredoxin ","Antioxidant, AhpC/TSA family "
"Q47Y74","Response regulator ","Response regulator ","Response regulator "
"Q47Y75","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q47Y77","Magnesium and cobalt efflux protein CorC ","Magnesium and cobalt efflux protein CorC ","Magnesium and cobalt efflux protein CorC "
"Q47Y78","Endoribonuclease YbeY ","Endoribonuclease YbeY ","Endoribonuclease YbeY "
"Q47Y79","PhoH family protein ","PhoH family protein ","PhoH-like protein "
"Q47Y80","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase "
"Q47Y82","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Y84","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase ","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase ","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase "
"Q47Y86","Ribosome-binding ATPase YchF ","Ribosome-binding ATPase YchF ","Ribosome-binding ATPase YchF "
"Q47Y87","Peptidyl-tRNA hydrolase ","Peptidyl-tRNA hydrolase ","Peptidyl-tRNA hydrolase "
"Q47Y88","50S ribosomal protein L25 ","50S ribosomal protein L25 ","Large ribosomal subunit protein bL25 "
"Q47Y89","Ribose-phosphate pyrophosphokinase ","Ribose-phosphate pyrophosphokinase ","Ribose-phosphate pyrophosphokinase "
"Q47Y90","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase "
"Q47Y92","Glutamyl-tRNA reductase ","Glutamyl-tRNA reductase ","Glutamyl-tRNA reductase "
"Q47Y94","Peptide chain release factor 1 ","Peptide chain release factor 1 ","Peptide chain release factor 1 "
"Q47Y95","Release factor glutamine methyltransferase ","Release factor glutamine methyltransferase ","Release factor glutamine methyltransferase "
"Q47Y97","Uncharacterized protein ","Uncharacterized protein ","Protein SirB1 N-terminal domain-containing protein "
"Q47Y98","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47Y99","2-dehydro-3-deoxyphosphooctonate aldolase ","2-dehydro-3-deoxyphosphooctonate aldolase ","2-dehydro-3-deoxyphosphooctonate aldolase "
"Q47YA2","Glycine cleavage system transcriptional activator ","Glycine cleavage system transcriptional activator ","Glycine cleavage system transcriptional activator "
"Q47YA3","Uncharacterized protein ","Uncharacterized protein ","KANL3/Tex30 alpha/beta hydrolase-like domain-containing protein "
"Q47YA5","Ribosomal RNA large subunit methyltransferase M ","Ribosomal RNA large subunit methyltransferase M ","Ribosomal RNA large subunit methyltransferase M "
"Q47YA6","Isocitrate dehydrogenase, NAD-dependent ","Isocitrate dehydrogenase, NAD-dependent ","Isocitrate dehydrogenase, NAD-dependent "
"Q47YA7","Uncharacterized protein ","Uncharacterized protein ","DUF3192 domain-containing protein "
"Q47YA8","Flap endonuclease Xni ","Flap endonuclease Xni ","Flap endonuclease Xni "
"Q47YA9","Lysine decarboxylase family protein ","Lysine decarboxylase family protein ","AMP nucleosidase "
"Q47YB0","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q47YB2","Putative peptidase, M61 family ","Putative peptidase, M61 family ","Putative peptidase, M61 family "
"Q47YB3","NADPH-dependent 7-cyano-7-deazaguanine reductase ","NADPH-dependent 7-cyano-7-deazaguanine reductase ","NADPH-dependent 7-cyano-7-deazaguanine reductase "
"Q47YB4","Protein Syd ","Protein Syd ","Protein Syd "
"Q47YB5","Uncharacterized protein ","Uncharacterized protein ","KfrA N-terminal DNA-binding domain-containing protein "
"Q47YB7","Uncharacterized protein ","Uncharacterized protein ","GNAT family N-acetyltransferase "
"Q47YB9","Tryptophan synthase alpha chain ","Tryptophan synthase alpha chain ","Tryptophan synthase alpha chain "
"Q47YC0","Tryptophan synthase beta chain ","Tryptophan synthase beta chain ","Tryptophan synthase beta chain "
"Q47YC1","Multifunctional fusion protein ","Multifunctional fusion protein ","Multifunctional fusion protein "
"Q47YC2","Anthranilate phosphoribosyltransferase ","Anthranilate phosphoribosyltransferase ","Anthranilate phosphoribosyltransferase "
"Q47YC3","Glutamine amido-transferase ","Glutamine amido-transferase ","anthranilate synthase "
"Q47YC4","Anthranilate synthase component 1 ","Anthranilate synthase component 1 ","Anthranilate synthase component 1 "
"Q47YC5","PHP domain protein ","PHP domain protein ","PHP domain protein "
"Q47YC6","Sua5/YciO/YrdC/YwlC family protein ","Sua5/YciO/YrdC/YwlC family protein ","Sua5/YciO/YrdC/YwlC family protein "
"Q47YC7","Ribosomal large subunit pseudouridine synthase B ","Ribosomal large subunit pseudouridine synthase B ","Ribosomal large subunit pseudouridine synthase B "
"Q47YC8","Ribonuclease D ","Ribonuclease D ","Ribonuclease D "
"Q47YC9","YcgL domain-containing protein CPS_3517 ","YcgL domain-containing protein CPS_3517 ","YcgL domain-containing protein CPS_3517 "
"Q47YD0","Putative transglycosylase ","Putative transglycosylase ","Putative transglycosylase "
"Q47YD1","UPF0260 protein CPS_3515 ","UPF0260 protein CPS_3515 ","UPF0260 protein CPS_3515 "
"Q47YD4","Na+/H+ antiporter NhaD ","Na+/H+ antiporter NhaD ","Na+/H+ antiporter NhaD "
"Q47YD5","Prolyl oligopeptidase family protein ","Prolyl oligopeptidase family protein ","Prolyl oligopeptidase family protein "
"Q47YD8","Putative transcriptional regulator ","Putative transcriptional regulator ","Putative transcriptional regulator "
"Q47YD9","Efflux transporter, RND family, MFP subunit subfamily ","Efflux transporter, RND family, MFP subunit subfamily ","Efflux transporter, RND family, MFP subunit subfamily "
"Q47YE0","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q47YE1","ABC transporter, permease protein ","ABC transporter, permease protein ","ABC transporter, permease protein "
"Q47YE3","Uncharacterized protein ","Uncharacterized protein ","Aspartyl protease "
"Q47YE7","Uncharacterized protein ","Uncharacterized protein ","SnoaL-like domain-containing protein "
"Q47YF4","Glyoxalase family protein ","Glyoxalase family protein ","Glyoxalase family protein "
"Q47YF6","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47YF7","Uncharacterized protein ","Uncharacterized protein ","Twin-arginine translocation pathway signal "
"Q47YF8","Fatty acid metabolism regulator protein ","Fatty acid metabolism regulator protein ","Fatty acid metabolism regulator protein "
"Q47YF9","SpoVR like family protein ","SpoVR like family protein ","SpoVR like family protein "
"Q47YG0","UPF0229 protein CPS_3486 ","UPF0229 protein CPS_3486 ","UPF0229 protein CPS_3486 "
"Q47YG1","Uncharacterized protein ","Uncharacterized protein ","PrkA AAA domain-containing protein "
"Q47YG2","4-hydroxyphenylpyruvate dioxygenase ","4-hydroxyphenylpyruvate dioxygenase ","4-hydroxyphenylpyruvate dioxygenase "
"Q47YG3","Carbonic anhydrase ","Carbonic anhydrase ","Carbonic anhydrase "
"Q47YG6","Uncharacterized protein ","Uncharacterized protein ","PilZ domain-containing protein "
"Q47YG7","Lipoprotein releasing system transmembrane protein LolC ","Lipoprotein releasing system transmembrane protein LolC ","Lipoprotein releasing system transmembrane protein LolC "
"Q47YG8","Lipoprotein-releasing system ATP-binding protein LolD ","Lipoprotein-releasing system ATP-binding protein LolD ","Lipoprotein-releasing system ATP-binding protein LolD "
"Q47YG9","Lipoprotein releasing system transmembrane protein LolE ","Lipoprotein releasing system transmembrane protein LolE ","Lipoprotein releasing system transmembrane protein LolE "
"Q47YH0","Superoxide dismutase ","Superoxide dismutase ","Superoxide dismutase "
"Q47YH1","Glutaredoxin ","Glutaredoxin ","Glutaredoxin "
"Q47YH2","Antioxidant, AhpC/Tsa family ","Antioxidant, AhpC/Tsa family ","Alkyl hydroperoxide reductase C "
"Q47YH3","Ribonuclease T ","Ribonuclease T ","Ribonuclease T "
"Q47YH5","Sodium-type flagellar protein MotY ","Sodium-type flagellar protein MotY ","Sodium-type flagellar protein MotY "
"Q47YH7","Uncharacterized protein ","Uncharacterized protein ","Lipoprotein "
"Q47YH9","Cell division protein ZipA ","Cell division protein ZipA ","Cell division protein ZipA "
"Q47YI0","DNA ligase ","DNA ligase ","DNA ligase "
"Q47YI2","EAL domain protein ","EAL domain protein ","EAL domain protein "
"Q47YI3","Sodium/proline symporter ","Sodium/proline symporter ","Sodium/proline symporter "
"Q47YI4","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase "
"Q47YI5","Uncharacterized protein ","Uncharacterized protein ","SnoaL-like domain-containing protein "
